Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2020-04-16,1557.7767333984375,1602.1212182500426,1520.5582116467256,1552.239254927542,6245533
2020-04-17,1639.6124267578125,1681.1428611238978,1591.319157240381,1633.9843029279439,9895823
2020-04-20,1650.9140625,1661.2172181661888,1636.2535714451121,1661.2172181661888,3244282
2020-04-21,1577.384765625,1629.0821639039743,1568.3523979280744,1602.212224677936,5122541
2020-04-22,1606.296875,1624.9061352076858,1560.5907385546664,1577.3844611811146,3829836
2020-04-23,1705.0169677734375,1724.7609417114502,1598.4448747916767,1615.8286717086219,5934366
2020-04-24,1650.8232421875,1681.1426359877344,1641.0647261296376,1670.9302354620643,2987102
2020-04-27,1667.2083740234375,1702.0667226659634,1656.6782767282045,1663.3050341597716,3374741
2020-04-28,1687.587646484375,1695.7121329896283,1663.5770950308197,1692.9888265661975,2678505
2020-04-29,1729.889892578125,1736.1535203898998,1679.4179619709942,1701.1589836324638,4241510
2020-04-30,1828.6549072265625,1844.5862947961305,1763.0686081128713,1797.38231481119,5915544
2020-05-04,1752.40234375,1784.6735709056252,1737.1518934560945,1784.6735709056252,3729348
2020-05-05,1754.4901123046875,1794.65888088287,1749.2704418114774,1774.7787224072765,2905528
2020-05-06,1728.0289306640625,1773.5081323600045,1718.9512412711942,1760.8902327532282,3517431
2020-05-07,1717.180908203125,1756.0333471598358,1709.646382682621,1733.8384438653707,3166754
2020-05-08,1718.769775390625,1760.6179023905574,1712.279205147816,1760.2547726433072,2686530
2020-05-11,1756.8052978515625,1771.420355822435,1732.9309300795044,1732.9309300795044,2449841
2020-05-12,1769.6956787109375,1776.0500617583737,1734.065745194957,1755.080619864164,3256595
2020-05-13,1769.8314208984375,1810.0909440565285,1748.044970217717,1810.0909440565285,2656665
2020-05-14,1726.8941650390625,1745.7303699353376,1716.681764794094,1733.838619367968,2263146
2020-05-15,1718.3157958984375,1740.5561342451726,1693.1705305459643,1739.2852356058893,3173682
2020-05-18,1766.1551513671875,1772.8272306262434,1699.4341371533617,1731.1152939559947,3727694
2020-05-19,1768.923828125,1785.0820475006121,1727.484157107212,1727.484157107212,3198693
2020-05-20,1773.417236328125,1781.8595311154925,1753.5370759794046,1770.1492905693997,2778505
2020-05-21,1807.5491943359375,1813.7220665145896,1762.1154322798395,1766.5180888075033,3400908
2020-05-22,1834.0107421875,1844.5862712692576,1780.3616262435194,1794.7497401046282,3663418
2020-05-26,1763.795166015625,1837.3244549745882,1747.4553240247442,1829.1545339791478,4575317
2020-05-27,1820.34912109375,1824.615590837221,1762.2064754789826,1778.3193743532916,3482160
2020-05-28,1819.4415283203125,1828.246843669732,1789.4851500476705,1805.0987331863269,3475681
2020-05-29,1790.4381103515625,1817.9435545368783,1781.4058534018443,1799.198103096576,7237735
2020-06-01,1856.6142578125,1870.0038484751253,1798.3808633784854,1806.4600283813104,3747773
2020-06-02,1858.3389892578125,1889.0669421027817,1851.893852703689,1870.1853060454368,2443886
2020-06-03,1862.891357421875,1878.9150321371578,1839.0833991118395,1868.0809168641665,3699799
2020-06-04,1904.225341796875,1911.9184931835443,1863.437702820676,1863.437702820676,4048593
2020-06-05,1864.8033447265625,1910.0976039235093,1857.5654120837087,1904.2708936603342,3573289
2020-06-08,1886.1986083984375,1907.3662771061793,1877.412976747919,1892.1164512629675,2957841
2020-06-09,1886.4716796875,1907.8213902318066,1875.7284749344212,1878.323310187508,2909439
2020-06-10,1919.8843994140625,1941.0520638059425,1887.791488884438,1891.0235853217944,5168397
2020-06-11,1882.465576171875,1916.47049790686,1877.1396513833847,1911.918311451024,2269513
2020-06-12,1856.8369140625,1865.6681116111843,1830.889450443583,1831.0714934526281,2842642
2020-06-15,1848.0968017578125,1874.590506454981,1821.7395737534507,1856.472780935397,2399022
2020-06-16,1862.5726318359375,1888.201352357455,1849.0981156373034,1880.0529831565884,2146528
2020-06-17,1864.3936767578125,1874.4540540758082,1845.0468827904153,1862.7548450491543,2703527
2020-06-18,1855.562255859375,1874.7724608374522,1843.8175923545746,1861.844295514256,1944389
2020-06-19,1861.4801025390625,1902.8139786569793,1850.0086146559722,1859.1129877595943,5681758
2020-06-22,1846.3214111328125,1868.4450835720725,1838.3096289978732,1866.3965994994512,3196138
2020-06-23,1853.01318359375,1860.933944086724,1829.979074175301,1845.4565091310126,4205944
2020-06-24,1859.2950439453125,1879.3702312360376,1849.6444306145438,1851.8295024023741,2560937
2020-06-25,1835.53271484375,1875.500936643382,1829.2962412382112,1852.7400029462535,3043931
2020-06-26,1929.080322265625,1941.0524848452726,1839.0379324508701,1843.6356856527566,6300722
2020-06-29,1913.4205322265625,1937.0465588406307,1903.997639193689,1919.2018982017246,3076341
2020-06-30,1895.6668701171875,1922.7523788610606,1889.2028988742402,1911.9182642734008,3071725
2020-07-01,1904.6800537109375,1924.6185380678119,1893.2540232058748,1893.4360661780302,2503466
2020-07-02,1963.949462890625,1971.096483623343,1910.0971929061309,1913.738941605666,3758699
2020-07-03,2002.6436767578125,2007.5146060952084,1966.7725296223011,1969.8679280868705,4185208
2020-07-06,2060.501708984375,2066.6015946054454,2007.5143011371977,2007.5143011371977,5190366
2020-07-07,2066.60107421875,2096.463455406855,2032.2320738627407,2071.244392315792,5630055
2020-07-08,2020.16943359375,2070.6987086845393,2009.8816689175899,2066.6928730827385,2793358
2020-07-09,2006.9228515625,2043.4768257190315,1994.8139892050906,2029.3650454567705,3443998
2020-07-10,2023.3099365234375,2048.3469562590208,1981.1110888955925,2007.74137352344,9610320
2020-07-13,2021.1708984375,2043.8862656564327,2012.066525021115,2021.1708984375,2963503
2020-07-14,1977.4244384765625,2038.4693097371753,1971.0969430911052,2012.0666255110127,2976738
2020-07-15,2033.8260498046875,2057.588555215084,1985.7551321752221,1989.305749179185,5569321
2020-07-16,2039.163818359375,2128.8149404776473,2025.7960811172347,2047.6042547929019,8582118
2020-07-17,2008.139404296875,2047.5128084491168,1998.3759174981496,2041.2167885548606,4509135
2020-07-20,2014.6632080078125,2032.0003168647468,1999.059943700548,2008.3671891638223,2952646
2020-07-21,2030.313232421875,2042.7228240921008,2008.5048314424885,2034.829962896946,2665286
2020-07-22,1999.197509765625,2035.742369149726,1993.0382713112276,2035.742369149726,2861534
2020-07-23,1981.17578125,1999.197254425959,1973.6934926379433,1999.197254425959,2265766
2020-07-24,1968.5831298828125,1973.6931040511683,1939.1102210645424,1965.9370285151374,3665100
2020-07-27,2013.659912109375,2021.1421998521305,1974.149503106133,1975.518222428832,4248480
2020-07-28,2107.60009765625,2116.9530150719775,2021.142641545013,2021.142641545013,8092319
2020-07-29,2076.849853515625,2137.027856411999,2049.475457404455,2091.4038628933827,6090431
2020-07-30,2079.996826171875,2151.6264602383335,2073.381350414145,2085.836605317657,7098496
2020-07-31,2081.73095703125,2130.4575033646324,2059.877114255742,2101.5773891578206,4723290
2020-08-03,2056.865966796875,2102.216384786002,2035.4683630091556,2089.989023497764,4012337
2020-08-04,2052.80517578125,2071.0090980424725,2030.3126442383686,2062.1580910625958,2927928
2020-08-05,2061.748779296875,2098.704223227622,2055.8176586660143,2062.205019345403,3800641
2020-08-06,2106.093994140625,2116.496171188467,2067.0854960512493,2075.8908339960176,4748047
2020-08-07,2094.460693359375,2124.2530710758865,2086.8413975732615,2106.0034742453377,3165491
2020-08-10,2083.00830078125,2121.5148921179307,2076.8490639976817,2115.1275354534896,2929353
2020-08-11,2080.362548828125,2109.6532386997014,2076.4390640163774,2083.1913252385025,2774423
2020-08-12,2059.7861328125,2095.418286756127,2049.9313075317573,2088.0730034151084,3415751
2020-08-13,2057.139892578125,2098.7033890329963,2053.535642182069,2074.0664362052175,2695682
2020-08-14,2045.9154052734375,2081.639104089189,2037.657645698345,2077.7153984833803,2270405
2020-08-17,2056.18212890625,2071.3293844392683,2042.3581474542698,2064.9420251039933,2625630
2020-08-18,2071.1005859375,2088.6658183548575,2051.5279429413986,2064.7588972297976,3493374
2020-08-19,2059.10205078125,2084.6514857395114,2055.3607944101473,2077.1235272250237,2843005
2020-08-20,2055.679931640625,2077.3056554540162,2044.000147207843,2059.4666331948874,2895164
2020-08-21,2051.801513671875,2072.2409655703755,2044.9122488221624,2062.203690968317,1975294
2020-08-24,2051.34521484375,2062.1579630533247,2034.8292470921085,2053.6264135512524,2167966
2020-08-25,2046.3720703125,2053.078883775493,2038.0686404909977,2048.516486255992,1663419
2020-08-26,2056.27294921875,2062.1127300339685,2022.4655326789198,2045.779432948053,2618149
2020-08-27,2051.618408203125,2087.159655835689,2045.5505098515157,2067.6781332992236,3579393
2020-08-28,2042.63134765625,2080.407915735003,2039.4833374452458,2069.86873131264,2941136
2020-08-31,2059.69482421875,2076.986270158681,2033.0047927165244,2043.954549230258,6018154
2020-09-01,2049.748779296875,2078.6286715103165,2045.1407124458356,2070.4163545464917,3610908
2020-09-02,2066.903564453125,2070.18858089746,2045.4602887942422,2050.3421449153025,2084137
2020-09-03,2098.24658203125,2120.6023294805937,2069.503478167808,2069.503478167808,4654146
2020-09-04,2088.483154296875,2120.8305084840676,2064.8954697721174,2075.890892460473,5231303
2020-09-07,2123.385498046875,2138.395741500611,2083.510187831504,2088.665607977341,4620401
2020-09-08,2142.684814453125,2181.237082272339,2123.385957660072,2131.506937984832,7453998
2020-09-09,2123.93310546875,2152.539430760514,2116.9527254618024,2121.5151235770218,3866535
2020-09-10,2127.126953125,2142.9585649517876,2120.876600874639,2130.6400890621353,2308813
2020-09-11,2166.318115234375,2174.439095343898,2126.2144547494822,2126.9444830541647,4145424
2020-09-14,2273.351806640625,2286.445979278914,2173.389834992007,2175.4429142909703,7512131
2020-09-15,2273.351806640625,2315.8734492307226,2248.8975292094387,2273.351806640625,7318770
2020-09-16,2283.936767578125,2288.1342634517005,2260.486083037011,2271.116382797932,3074003
2020-09-17,2245.56640625,2277.32073776214,2236.1223769826724,2262.9491854753514,4828176
